,text,geography_iso,author,document_name,date,types0,text_block_id
10,"1 The thee Special Reports are: Global Warming of 1.5°C: an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the content of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty (2018) Climate Change and Land: an IPCC Special Report on dimate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluees in terrestrial ecosystems (2019); IPCC Special Report on the Ocean and Cryosphere in a Changing Climate (2019).",,['IPCC'],Climate Change 2022: Mitigation of Climate Change: Technical Summary,2022-04-04,IPCC Report,p_6_b_9
11,"de Coninck, H, A. Revi, M. Babiker, P. Bertoldi, M. Buckeridge, A. Cartwright, W. Dong, 1 Ford, S. Fuss, J-C. Hourcade, D. Ley, R. Mechler, P. Newman, A. Revokatova, S. Schultz, L. Steg, and T. Sugiyama, 2018: Strengthening and implementing the Global Response. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty Masson-Delmotte, V. P. Zhai, H-Q. Pärtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, I Maycock, M. Tignot, and T. Waterfield (eds.), Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 313-444. https://doi.org/10.1017/9781009157940.006.",,['IPCC'],Chapter 4: Strengthening and Implementing the Global Response,2018-10-01,IPCC Report,p_0_b_2
12,"Amid the significant gap between the aggregate effect of greenhouse gas emission reductions announced in the 2015 Nationally Determined Contributions (NDCs) and the emissions pathway consistent with the Paris Agreement goal, the global call for ambition should be met with an increase in climate action efforts. Moreover, the IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways clearly calls for stronger mitigation measures, as well as enhanced resilience, in order to avoid catastrophic climate changes.",LBN,['Lebanon'],Lebanon First NDC (Updated submission),2021-03-16,Nationally Determined Contribution,p_2_b_1
13,"ITERGOVERNMENTAL PANEL ON CLIMATE CHANGE - IPCC (2018): Global Warming of 1.5°C.An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor, and T. Waterfield (eds.)). Published: IPCC, Switzerland.",AFG,['Afghanistan'],Afghanistan. Biennial update report (BUR). BUR 1. National inventory report.,2020-03-01,National Inventory Report,p_678_b_7
14,"Main objective: Carbon sink by negative emission technology. Description: The agricultural soils in the country are characterized as soils with relatively low carbon content and with average to low fertility. The application of biochar can improve soil water holding capacity, nutrients storage into the soil, and increase yield. Biochar can capture even 3 times more CO2 compared to its weight, because of its high carbon concentration. Biochar was included for the first time as a promising negative emission technology in the new IPCC special report ""An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty published in 2018. The process of application of biochar should go through several steps: i) research, i) development the suitable technology for various soil/crop combination) experimental/demonstrative sites, iv) development the measure for support from national programs for support of agriculture v) promotion of measure. This is new measure, need some research, therefore, in period 2017-2040 estimated only 15 years of active use of the measure. Tyne Land management of the category of cropland",MKD,['North Macedonia (Republic of North Macedonia)'],North Macedonia. Biennial update report (BUR). BUR 3.,2021-06-03,Biennial Update Report,p_297_b_2
15,"7 across all sectors of its economy. This is consistent and aligns directly with Fiji's objective stated above to ensure that net zero emissions is achieved globally by 2050³. It also answers the urgent call issued by the Intergovernmental Panel on Climate Change IPCC) in the newly released report, Global Warming of 1.5°C, an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global GHG emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (hereinafter IPCC SR 1.5°C). This report urges countries to undertake immediate and sustained GHG emissions reductions, reaching net zero in 2050, in order to have the possibility of limiting global warming to 1.5°C.4 Fiji's transition to a low carbon economy is critical to of meeting the government's development objectives,",FJI,['Fiji'],Fiji Low Emission Development Strategy 2018-2050,2019-02-25,Long-Term Low-Emission Development Strategy,p_10_b_14
16,"ge mandos IPCC, 2018: Annex I: Glossary [Matthews, J.B.R. (ed.)]. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson- Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor, and T. Waterfield (eds.)]. In Press",BTN,['Bhutan'],Bhutan. National communication (NC). NC 3.,2021-02-03,National Communication,p_176_b_3
17,"related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty"". Source: IPCC, 2018: Annex I: Glossary [Matthews, J.B.R. (ed.)]. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global green- house gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor, and T. Waterfield (eds.)]. In Press.",TTO,['Trinidad and Tobago'],Trinidad and Tobago. National Communication (NC). NC 3.,2021-12-29,National Communication,p_20_b_3
18,"Rogelj, J., D. Shindell, K. Jiang, S. Fifita, P. Forster, V. Ginzburg, C. Handa, H. Kheshgi, S. Kobayashi, E. Kriegler, L. Mundaca, R. Séférian, and M.V. Vilarino, 2018. Mitigation Pathways Compatible with 1.5°C in the context of Sustainable Development. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O. Pörtner,",ALB,['Albania'],Albania. National Communication (NC). NC 4.,2022-11-03,National Communication,p_239_b_1
19,"Description: The agricultural soils in the country are characterized as soils with relatively low carbon content and with average to low fertility. The application of biochar can improve soil water holding capacity, nutrients storage into the soil, and increase yield. Biochar can capture even 3 times more CO2 compared to its weight, because of its high carbon concentration. Biochar was included for the first time as a promising negative emission technology in the new IPCC special report ""An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty"" published in 2018. The process of application of biochar should go through several steps: i) research, ii) development the suitable technology for various soil/crop combination iii) experimental/demonstrative sites iv) development the measure for support from national programs for support of agriculture v) promotion of measure. This is new measure, need some research, therefore, in period 20172040 we predict only 15 years of active use of the measure",MKD,['North Macedonia (Republic of North Macedonia)'],Long-Term Strategy on Climate Action and Action Plan,2021-11-04,Long-Term Low-Emission Development Strategy,p_152_b_0
20,"Rogelj, J., D. Shindell, K. Jiang, S. Fifita, P. Forster, V. Ginzburg, C. Handa, H. Kheshgi, S. Kobayashi, E. Kriegler (2018). Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable Development. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor, and T. Waterfield (eds.)]. In Press. Global Warming of 1.5 °C-[ipcc.ch)",CAN,['Canada'],Exploring Approaches for Canada's Transition to Net-Zero Emissions,2022-11-02,Long-Term Low-Emission Development Strategy,p_65_b_7
21,"HOEGH-GULDBERG, O. et al. Impacts of 1.50C Global Warming on Natural and Human Systems. In: MASSON-DELMOTTE, V. et al. (Eds.). Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, 2018. (s.l: s.n.]. p. 175-311.",BRA,['Brazil'],Brazil. National communication (NC). NC 4.,2020-12-31,National Communication,p_390_b_6
22,"HOEGH-GULDBERG, O. et al. Impacts of 1.50C Global Warming on Natural and Human Systems. In: MASSON-DELMOTTE, V. et al. (Eds.). Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, 2018. (s.l: s.n.]. p. 175-311.",BRA,['Brazil'],Brazil. National communication (NC). NC 4.,2020-12-31,National Communication,p_391_b_0
23,"2 Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (SR1.5) https://www.ipcc.ch/sr15/ ³ 'Climate Change and Land. An IPCC Special Report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems (SRCCL) https://www.ipcc.ch/srccll/; 'IPCC Special Report on the Ocean and Cryosphere in a Changing Climate (SROCC) https://www.ipcc.ch/srocc/",XAB,['European Union' 'France' 'European Commission'],Submission by France and the European Commission on behalf of the European Union and its member states,2022-03-28,Submission to the Global Stocktake,p_1_b_7
24,"IPCC Special Report Global warming of 1.5°C (an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty). Available online: https://www.ipcc.ch/sr15/.",NOR,['Norway'],Strategy of Latvia for the Achievement of Climate Neutrality by 2050,2020-11-25,Long-Term Low-Emission Development Strategy,p_6_b_5
25,"13 Macro-economic forecast until 2030 of the Ministry of Economics (2018) extrapolated by the FEI until 2050. 14 IPCC Special Report Global warming of 1.5°C (an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty). Available online: https://www.ipcc.ch/sr15/. is Latvian Environment, Geology and Meteorology Centre. Report Klimata pārmaiņu scenāriji Latvijai (2017) Available online in I atvian: http://www? meron ly/klimatariks/zinojums pdf",NOR,['Norway'],Strategy of Latvia for the Achievement of Climate Neutrality by 2050,2020-11-25,Long-Term Low-Emission Development Strategy,p_13_b_6
