,Text (IPCC report),pair_count
44,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or total rainfall over a season).",4
45,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme dimate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).",4
46,"In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.",4
47,"Definitions of 'rare' vary, but an extreme weather event would normally be as rare as, or rarer than, the 10th or 90th percentile of a probability density function estimated from observations.",4
48,at all spatial and temporal scales beyond that of individual weather events.,4
49,"In: Global Warming of 1.5°C an IPCC special report on the impacts of global warming of 1.5°C above preindustrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty Masson-Delmotte, V., P. Zhai, H.-O.",4
50,"By definition, the characteristics of what is called an extreme event may vary from place to place in an absolute sense.",4
51,"By definition, the characteristics of what is called a MHW may therefore vary from place to place in an absolute sense.",4
52,"Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",4
53,"When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or total rainfall over a season).",4
54,"The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.",4
55,"Definitions of 'rare' vary, but an extreme event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",4
56,The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/regional climate variables.,4
