,Text (IPCC report),Text (IPCC mentions),Distance,Ratio,Matching Text
231,"The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure, or economic, social, or cultural assets in places and settings that could be adversely affected.","For the IPCC (2014b), exposure is the presence of people, their livelihoods, species and ecosystems, environmental functions, services and resources, infrastructure or economic, social or cultural assets in places that could be adversely affected.",64,0.8486140724946695,"['nce of people', 'livelihoods', ' species ', ' ecosystems', ' environmental functions, services', ' and resources', ' infrastructure', ' or economic, social', ' or cultural assets in place', 's that could be adversely affected.']"
232,"The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure, or economic, social, or cultural assets in places and settings that could be adversely affected.","Exposure refers to the presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected (IPCC, 2018, p.549).",41,0.9109730848861284,"['he presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure', ' or economic, social, or cultural assets in places and settings that could be adversely affected']"
233,"A reduction in the pH of the ocean, accompanied by other chemical changes (primarily in the levels of carbonate and bicarbonate ions), over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO₂) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.","Ocean acidification refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO2) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.",103,0.804416403785489,"['n the ', ' over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO', ') from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.']"
234,"Anthropogenic OA refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37).","Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37; IPCC, 2018, p.555).",38,0.84375,"['Anthropogenic ', 'refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37']"
235,"A potential future evolution of a quantity or set of quantities, often computed with the aid of a model.","A projection is a potential future evolution of a quantity or set of quantities, often computed with the aid of a model.",16,0.9285714285714286,"['otential future evolution of a quantity or set of quantities, often computed with the aid of a model.']"
236,"Unlike predictions, projections are conditional on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised.","Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may or may not be realised (IPCC, 2018, p.556).",21,0.9424657534246575,"['Unlike predictions, projections are conditional on assumptions concerning, for example, future socio', 'economic and technological developments that may or may not be realised']"
237,"Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions.","Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions (IPCC, 2018, p.557).",20,0.9324324324324325,"['Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions']"
238,"The temporary increase, at a particular locality, in the height of the sea due to extreme meteorological conditions (low atmospheric pressure and/or strong winds).","Storm surge is the temporary increase, at a particular locality, in the height of the sea due to extreme meteorological conditions (low atmospheric pressure and/ or strong winds).",17,0.9473684210526316,"['he temporary increase, at a particular locality, in the height of the sea due to extreme meteorological conditions (low atmospheric pressure and/', 'or strong winds).']"
239,The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place.,"The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place (IPCC, 2014).",13,0.9509433962264151,['The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place']
240,"The Convention's ultimate objective is the stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"".","The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",52,0.856447688564477,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system""']"
241,"The Convention's ultimate objective is the stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"".",The United Nations Framework Convention on Climate Change (UNFCCC) objective is to stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system.,58,0.8518518518518519,"['Convention', 'imate ', 'objective is t', ' stabili', 'greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system']"
242,"The Convention's ultimate objective is the stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"".","The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",52,0.856447688564477,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system""']"
243,Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt.,"Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt"" (Field et al.",14,0.9548387096774194,['Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt']
257,"Adaptation In human systems, the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.","In human systems, adaptation is the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",25,0.9244712990936556,"['In human systems,', ' the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.']"
258,"In natural systems, the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects.","In natural systems, it is the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects (IPCC, 2018, p.542)",25,0.9283667621776505,"['In natural systems, ', 'he process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects']"
259,"Adaptive capacity The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences (MA, 2005).","Adaptive capacity is the ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities or to respond to consequences.",16,0.9544235924932976,"['Adaptive capacity ', 'he ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities', ' or to respond to consequences']"
260,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
261,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
262,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
263,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
264,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (eg, drought or heavy rainfall over a season).""",25,0.9496981891348089,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme climate event, especially if it yields an average or total that is itself extreme (e', 'drought', ' or heavy rainfall over a season).']"
265,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (for example, drought or heavy rainfall over a season) (IPCC, 2018, p.549).",42,0.9104761904761904,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme climate event, especially if it yields an average or total that is itself extreme (', 'e, drought', ' or heavy rainfall over a season']"
266,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).",22,0.9558232931726908,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., ', 'drought', ' or heavy rainfall over a season).']"
267,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).""",23,0.9539078156312625,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., ', 'drought', ' or heavy rainfall over a season).']"
268,"Climate change A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and or the variability of its properties and that persists for an extended period, typically decades or longer.","Climate change refers to a change in the state of the climate that can be identified (for example, by using statistical tests) by changes in the mean and/ or the variability of its properties, and which persists for an extended period, typically decades or longer.",27,0.9330708661417323,"['Climate change ', 'change in the state of the climate that can be identified (', ', by using statistical tests) by changes in the mean and', ' or the variability of its properties', ' persists for an extended period, typically decades or longer.']"
269,"Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.","Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.",0,1.0,"['Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.']"
270,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change in the following terms: A change of climate directly or indirectly attributable to human activity, which alters the composition of the global atmosphere and adds to the natural climate variability observed over comparable time periods.",102,0.827178729689808,"['e United Nations Framework Convention on Climate Change (UNFCCC)', ' change of climate ', 'irectly ', ' to human activity', ' alters the composition of the global atmosphere and ', ' natural climate variability observed over comparable time periods']"
271,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","EXECUTIVE SUMMAR T he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change as: ""change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is in addition to natural climate variability observed over comparable period of time"".",60,0.886002886002886,"['he United Nations Framework Convention on Climate Change (UNFCCC)', 'defines climate change as: ', 'change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' is in addition to natural climate variability observed over comparable ']"
272,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","Under the UNFCCC, climate change is defined as ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods"".",88,0.8412698412698413,"[' the U', 'limate ', 'hange ', 'define', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods']"
273,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.""",3,0.9943342776203966,"['Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods']"
274,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",69,0.8826025459688827,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', 'addition to natural climate variability observed over comparable time periods']"
275,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",69,0.8826025459688827,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', 'addition to natural climate variability observed over comparable time periods']"
276,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",69,0.8826025459688827,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', 'addition to natural climate variability observed over comparable time periods']"
277,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",69,0.8826025459688827,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', 'addition to natural climate variability observed over comparable time periods']"
278,The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes.,"The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes (IPCC, 2018, p.544).",20,0.9484536082474226,['The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes']
279,"Climate projection Simulated response of the climate system to a scenario of future emissions or concentrations of greenhouse gases (GHGS) and aerosols and changes in land use, generally derived using climate models.","A climate projection is the simulated response of the climate system to a scenario of future emission or concentration of greenhouse gases (GHGS) and aerosols, generally derived using climate models.",37,0.9060240963855422,"['limate projection ', 'imulated response of the climate system to a scenario of future emission', ' or concentration', ' of greenhouse gases (GHGS) and aerosols', ', generally derived using climate models.']"
280,"Climate projections are distinguished from climate predictions by their dependence on the emission/concentration/ radiative forcing scenario used, which is in turn based on assumptions concerning, for example, future socio-economic and technological developments that may or may not be realized.","Climate projections are distinguished from climate predictions by their dependence on the emission/concentration/ radiative forcing scenario used, which is in turn based on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised (IPCC, 2018, p.545).",22,0.9622331691297209,"['Climate projections are distinguished from climate predictions by their dependence on the emission/concentration/ radiative forcing scenario used, which is in turn based on assumptions concerning, for example, future socio', 'economic and technological developments that may or may not be reali']"
281,"The climate system can be represented by models of varying complexity, that is, for any one component or combination of components, a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical parametrizations are involved.","components a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical parameterizations are involved.",122,0.8211143695014662,"[' a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical or biological processes are explicitly represented, or the level at which empirical paramet', 'rizations are involved.']"
282,"Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions.","Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions (IPCC, 2018, p.545).",20,0.9456521739130435,"['Climate models are applied as a research tool to study and simulate the climate and for operational purposes, including monthly, seasonal and interannual climate predictions']"
283,"Variability may be intrinsic, due to fluctuations of processes t internal to the climate system (internal variability), or extrinsic, due to variations in natural or anthropogenic external forcing (forced variability).","Variability may be due to natural internal processes within the climate system (internal variability), or to variations in natural or anthropogenic external forcing (external variability).",57,0.8226600985221675,"['Variability may be ', 'due to ', ' processes ', 'he climate system (internal variability), or ', 'o variations in natural or anthropogenic external forcing (', ' variability).']"
284,A Downscaling A method that derives local- to regional-scale er information from larger-scale models or data analyses.,Downscaling is a method that derives local to regional-scale (up to 100 km) information from larger scale models or data analyses.,22,0.8951612903225806,"['Downscaling ', 'method that derives local', ' to regional-scale ', 'information from larger', 'scale models or data analyses.']"
285,"The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.","The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.",0,1.0,"['The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.']"
286,The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/regional climate variables.,The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/ regional climate variables.,1,0.997289972899729,"['The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/', 'regional climate variables.']"
287,"In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.","In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.",0,1.0,"['In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.']"
288,"The two methods can be combined, for example, applying empirical/ statistical downscalling to the output of a regional climate model consisting of a dynamical downscaling of a global climate model.","The two methods can be combined, e.g, applying empirical/ statistical downscaling to the output of a regional climate model, consisting of a dynamical downscaling of a global climate model (IPCC, 2018, p.547).",32,0.916256157635468,"['The two methods can be combined, ', ', applying empirical/ statistical downscal', 'ing to the output of a regional climate model', ' consisting of a dynamical downscaling of a global climate model']"
289,"Definitions of 'rare' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",2,0.9947089947089947,"['Definitions of ', ' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.']"
290,"Definitions of 'rare' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or goth percentile of a probability density function estimated from observations.",4,0.9841269841269842,"['Definitions of ', ' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or ', 'th percentile of a probability density function estimated from observations.']"
291,"Definitions of 'rare' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",2,0.9947089947089947,"['Definitions of ', ' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.']"
292,"Definitions of 'rare' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90 percentile of a probability density function estimated from observations.",4,0.9893617021276596,"['Definitions of ', ' vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90', ' percentile of a probability density function estimated from observations.']"
293,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
294,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
295,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
296,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
297,"Exposure The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected.","For the IPCC (2014b), exposure is the presence of people, their livelihoods, species and ecosystems, environmental functions, services and resources, infrastructure or economic, social or cultural assets in places that could be adversely affected.",56,0.8661087866108786,"['xposure ', 'he presence of people', 'livelihoods', ' species ', ' ecosystems', ' environmental functions, services', ' and resources', ' infrastructure', ' or economic, social', ' or cultural assets in place', 's that could be adversely affected.']"
298,"Exposure The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected.","Exposure refers to the presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected (IPCC, 2018, p.549).",31,0.9349593495934959,"['Exposure ', 'he presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected']"
299,Mitigation (of climate change) A human intervention to reduce emissions or enhance the sinks of greenhouse gases.,Mitigation is an intervention to reduce the emissions sources or enhance the sinks of greenhouse gases.,35,0.8333333333333334,"['Mitigation ', 'intervention to reduce ', 'mission', 's or enhance the sinks of greenhouse gases.']"
300,"Ocean acidification (OA) A reduction in the pH of the ocean accompanied by other chemical changes (primarily in the levels of carbonate and bicarbonate ions), over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.","Ocean acidification refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO2) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.",109,0.8249619482496195,"['Ocean acidification ', 'n the ', ' over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO', ') from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.']"
301,"Anthropogenic OA refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37).","Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37; IPCC, 2018, p.555).",38,0.84375,"['Anthropogenic ', 'refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37']"
302,"Projection A potential future evolution of a quantity or set of quantities, often computed with the aid of a model.","A projection is a potential future evolution of a quantity or set of quantities, often computed with the aid of a model.",7,0.9617021276595745,"['rojection ', ' potential future evolution of a quantity or set of quantities, often computed with the aid of a model.']"
303,"Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may","Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may or may not be realised (IPCC, 2018, p.556).",44,0.8713450292397661,"['Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may']"
304,"Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions.","Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions (IPCC, 2018, p.557).",20,0.9324324324324325,"['Note that scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions']"
305,The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place.,"The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place (IPCC, 2014).",13,0.9509433962264151,['The storm surge is defined as being the excess above the level expected from the tidal variation alone at that time and place']
306,"The Convention's ultimate objective is the 'stabilization of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system' (UNFCCC, 1992).","The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",47,0.8758782201405152,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system', ', 1992']"
307,"The Convention's ultimate objective is the 'stabilization of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system' (UNFCCC, 1992).",The United Nations Framework Convention on Climate Change (UNFCCC) objective is to stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system.,73,0.8258928571428572,"['Convention', 'imate ', 'objective is t', 'stabiliz', 'greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system']"
308,"The Convention's ultimate objective is the 'stabilization of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system' (UNFCCC, 1992).","The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",47,0.8758782201405152,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system', ', 1992']"
309,Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt.,"Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt"" (Field et al.",14,0.9548387096774194,['Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt']
310,"Pörtner, D.C. Roberts, V. Masson-Delmatte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegria, M. Nicolai, A. Okem, L. Petzold, B. Rama, N.M.Weyer (eds.)].","Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",4,0.978978978978979,"['Pörtner, D.C. Roberts, V. Masson-Delm', 'tte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegr', 'a, M. Nicolai, A. Okem, ', '. Petzold, B. Rama, N.M.', 'Weyer (eds.)].']"
