,Topic,0,1,2,Top_words,topic_count,%_total
10,10,"This Third National Communication (TNC) details a comprehensive national GHG emission inventory by sources and removals by sinks for the base years 2006 and 2012 using comparable methodologies of IPCC 2006. The scope of improvement with reference to the inventories presented in TNC include: (i) adherence to the TACCC (Transparency, Accuracy, Consistency, Comparability and Completeness) principle for developing a National GHG Inventory; (ii) development of different inventory life cycle documents such as institutional arrangement (IA) and the template methods and data documentation (MDD), detailed QA/QC procedures to ensure the highest quality of GHG Inventory; (iii) identification of data gaps on different sectors and addressing those with proper explanation in light of IPCC GL; (iv) the development for the first time, of an archiving system in DoE to preserve and regularly update the necessary inventory works and data-base; (v) a national inventory improvement plan with a focus on addressing the data gaps and sustainable inventory development capacities within and outside of the nodal agency, i.e. DoE; (vi) inclusion of additional GHG pools identified in IPCC 2006 guidelines (IPCC 2006) for the preparation of national greenhouse gas emission inventories that were not included in INC and SNC; (vii) a strong emphasis on QA/QC procedures as identified in IPCC Good Practices Guidance 2000 and 2003 (GPG 2000, 2003).","The compilation of the GHG inventory is coordinated by the National Environment Agency (NEA) with data from other agencies and companies. Quality control checks for the computation of GHG emissions were developed based on the IPCC Good Practice Guidance and Uncertainty Management in National GHG Inventories to improve the transparency, consistency, comparability, completeness and confidence in the national GHG inventory of emissions estimates. The multi-agency GHG inventory team uses a four-stage inventory preparation process to facilitate continuous improvement to the national GHG inventory for subsequent inventory compilation cycles.","In addition to the IPCC Guidelines for National GHG Inventories, the 'Good Practice Guidance and Uncertainty Management in National GHG Inventories' guidelines were used for preparation of the inventory.",10_inventory_ghg_national_inventories,329,1.7455432937181665
11,11,"This GHG inventory is prepared using methodology developed in the revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories. The UNFCCC software ""Non Annex 1 National Greenhouse Gas Inventory Software"" has been used for the estimation of GHG.","The first National GHG Inventory was developed under the First National Communication (FNC) for the period from 1990 - 1998 and under the Second National Communication (SNC), this period was revised and extended to cover the years 1999- 2002. In the Third National Communication (TNC), the GHG inventory considered the time-frame 2003-2009. In these reports, the ventory was developed in accordance with the 1996 Revised IPCC Guidelines for National Greenhouse Gas Inventories and the 2000 IPCC Good Practice Guidance. In the First Biennial Update Report (FBUR), the inventory was compiled using the IPCC Inventory Software, in compliance with the 2006 IPCC Guidelines for National Greenhouse Gas Inventories. The series was updated to consider the period 2010-2012 and additionally, the entire previous series of data from 1990 to 2009 were revised according to the requirements of the IPCC Inventory Software. The same approach was used in the Second Biennial Update Report (SBUR) and the emission trend was expanded by developing the GHG inventory for 2013 and 2014.","The first National GHG Inventory was developed under the First National Communication (FNC) for the period from 1990 - 1998 and under the Second National Communication (SNC), this period was revised and extended to cover the years 1999- 2002. In the Third National Communication (TNC), the GHG inventory considered the time-frame 2003 - 2009. In these reports, the inventory was developed in accordance with the 1996 Revised IPCC Guidelines for National Greenhouse Gas Inventories and the 2000 IPCC Good Practice Guidance. In the First Biennial Update Report (FBUR), the inventory was compiled using the IPCC Inventory Software, in compliance with the 2006 IPCC Guidelines for National Greenhouse Gas Inventories. The series was updated to consider the period 2010-2012 and additionally, the entire previous series of data from 1990 to 2009 were revised according to the requirements of the IPCC Inventory Software. The same approach was used in the Second Biennial Update Report (SBUR) and the emission trend was expanded by developing the GHG inventory for 2013 and 2014.",11_ghg_inventory_national_inventories,1329,7.0511460101867565
12,12,"For all other emission sources, default values from the 2006 IPCC Guidelines are used for CO₂ and CH4 emission factors.","For all other emission sources, default values from the 2006 IPCC Guidelines are used for CO₂ and CH4 emission factors.","For all other emission sources, default values from the 2006 IPCC Guidelines are used for CO₂ and CH4 emission factors.",12_ch4_factors_default_efs,545,2.8915534804753817
13,13,"In the period 1990 to 2017 GHG emissions from the Agriculture Sector increased by 73% from 11,623.10 Gg CO₂ eq in 1990 to 20,073.90 Gg CO₂ eq in 2017. Emissions from the Agriculture sector increased by 38% from 11,623.10 Gg CO₂ equivalents in 1990 to 16,036.89 Gg CO₂ equivalents in 2005. In the period 2005 to 2017 GHG emissions from the Agriculture sector increased by 25% from 16,036.89 Gg CO₂ equivalents in 2005 to 20,073.90 Gg CO₂ equivalents in 2017. The increase of emissions is mainly caused by increasing emissions from Enteric Fermentation and Manure Management (IPCC subcategory 3.A and 3.B) and Agricultural Soils (IPCC subcategory 3.D).","In 2017, greenhouse gas emissions from IPCC sector Waste amounted to 1,502.27 Gg CO₂ equivalents, which correspond to 3.5% of the total national emissions. From 1990 to 2017, emissions from this sector increased by 60%, mainly due to an increase in solid waste disposal and increased population. Between 2016 and 2017 emissions from sector Waste increased by 4%.","In 2017, greenhouse gas emissions from IPCC sector Industrial Processes and Other Product Use (IPPU) amounted to 245.78 Gg CO₂ equivalents, which correspond to 0.6% of the total national emissions. From 1990 to 2017, emissions from this sector decreased by 0.9%, from 2005 to 2017, emissions from this sector increased by 50%, mainly due to a decrease in lime production. Between 2016 and 2017, emissions decreased by 12%, due to a significant decrease in emissions from category 2.A Mineral Industry.",13_gg_sector_2017_total,312,1.6553480475382003
14,14,"For the estimation of GHG emissions for the category, Tier 1 and Tier 2 methods were applied for the subcategories, using disaggregated country-specific activity data and default emission factors in accordance with the 2006 IPCC Guidelines.","The emission estimates were based on a sectoral approach, using Tier 1 and Tier 2 methods. The Tier 2 method was used to estimate emissions in one of the key categories: In the waste sector, methane emissions from solid waste disposal. Other emissions were estimated using the Tier 1 method with default estimation parameters from the 2006 IPCC Guidelines and country data.","The emissions estimates were based on a sectoral approach, using Tier 1 and Tier 2 methods. The Tier 2 method was used to estimate emissions in one of the key categories: In the Waste sector, methane emissions from solid waste disposal. Other emissions were estimated using the Tier 1 method with default estimation parameters from the 2006 IPCC Guidelines and country data.",14_tier_factors_method_default,457,2.424660441426146
15,15,"The general and category-specific QC procedures are performed by the experts during inventory calculation and compilation according to the QA/QC and verification plan. The QC procedures used in Finland's GHG inventory comply with the 2006 IPCC Guidelines. General inventory QC checks (2006 IPCC Guidelines, Vol 1, Chapter 6, Table 6.1) include routine checks of the integrity, correctness and completeness of the data, identification of errors and deficiencies, and documentation and archiving of the inventory data and quality control actions. Category-specific QC checks including reviews of the activity data, emission factors and methods are applied on a case-by-case basis focusing on key categories and on categories where significant methodological changes or data revisions have taken place.","The quality control (QC) procedures are performed by the experts during inventory calculation and compilation. QC measures are aimed at the attainment of the quality objectives. The QC procedures comply with the IPCC good practice guidance and the 2006 IPCC Guidelines. General inventory QC checks include routine checks of the integrity, correctness and completeness of data, identification of errors and deficiencies and documentation and archiving of inventory data and quality control actions.","The quality control (QC) procedures are performed by the experts during inventory calculation and compilation. QC measures are aimed at the attainment of the quality objectives. The QC procedures comply with the IPCC good practice guidance and the 2006 IPCC Guidelines. General inventory QC checks include routine checks of the integrity, correctness and completeness of data, identification of errors and deficiencies and documentation and archiving of inventory data and quality control actions.",15_qc_quality_qaqc_procedures,304,1.6129032258064515
16,16,"This NIRS covers the full territory of the country for the recommended time series 1990 to 2016 and the results are presented at the national level. The inventory addressed all the IPCC sectors Energy, Industrial Processes and Product Use (IPPU), Agriculture, Forestry, and Other Land Use (AFOLU) and Waste and categories subject to Activity Data (AD) availability. The gases covered in this inventory are the direct gases carbon dioxide (CO₂), methane (CH4), nitrous oxide (N₂O) and hydro-fluorocarbons (HFCs) as well as the indirect gases nitrogen oxides (NO₂), carbon monoxide (CO), non-methane organic volatile compounds (NMVOCs) and sulphur dioxide (SO₂).","National Greenhouse Gas (GHG) emissions inventories were compiled under the revised 1996 and 2006 Intergovernmental Panel on Climate Change (IPCC) guidelines and consider the following direct GHG: carbon dioxide, methane, nitrous oxide, perfluorocarbons, hydrofluorocarbons, sulphur hexafluoride, and indirect GHG: nitrogen oxides, carbon monoxide, non-methane volatile organic compounds (NMVOC), sulphur dioxide. The sectors considered were: energy, industrial processes, solvent and other product use, agriculture, land use, land-use change and forestry (LULUCF), waste.","National Greenhouse Gas (GHG) emissions inventories were compiled under the revised 1996 and 2006 Intergovernmental Panel on Climate Change (IPCC) guidelines and consider the following direct GHG: carbon dioxide, methane, nitrous oxide, perfluorocarbons, hydrofluorocarbons and sulphur hexafluoride, and indirect GHG: nitrogen oxides, carbon monoxide, non-methane volatile organic compounds (NMVOC), sulphur dioxide. The sectors considered were: energy, industrial processes, solvent and other product use, agriculture, land use, land-use change and forestry (LULUCF) and waste.",16_dioxide_gases_inventory_nox,482,2.5573005093378605
17,17,"Hydrofluorocarbons (HFCs) and, to a very limited extent, perfluorocarbons (PFCs), have high global warming potentials and are being used as alternatives to different classes of ozone-depleting substances (ODS) that are being phased out under the Montreal Protocol. According to the IPCC 2006 guidelines, HFCs and PFCs are being used in a variety of applications that includes refrigeration and air conditioning, fire suppression and explosion protection, aerosols, solvent cleaning, foam blowing, and other applications such as equipment's sterilization.","Hydrofluorocarbons (HFCs) and, to a very limited extent, perfluorocarbons (PFCs), have high global warming potentials and are being used as alternatives to different classes of ozone-depleting substances (ODS) that are being phased out under the Montreal Protocol. According to the IPCC 2006 guidelines, HFCs and PFCs are being used in a variety of applications that includes refrigeration and air conditioning, fire suppression and explosion protection, aerosols, solvent cleaning, foam blowing, and other applications such as equipment's sterilization.","Hydrofluorocarbons (HFCs) and, to a very limited extent, perfluorocarbons (PFCs), have high global warming potentials and are being used as alternatives to different classes of ozone-depleting substances (ODS) that are being phased out under the Montreal Protocol. According to the IPCC 2006 guidelines, HFCs and PFCs are being used in a variety of applications that includes refrigeration and air conditioning, fire suppression and explosion protection, aerosols, solvent cleaning, foam blowing, and other applications such as equipment's sterilization. Rwanda neither produces nor export substitutes for ozone-depleting substances but they are being imported mainly for refrigeration and stationary air conditioning and also the Mobile air conditioning. Other applications, such as aerosols, solvent cleaning, and foam blowing exist in Rwanda; however, there is a lack of inventory data to estimate these sources of emissions.",17_refrigeration_hfc_conditioning_air,242,1.2839558573853989
18,18,"According to the IPCC definition, a key category is one that is prioritized within the national inventory system because its estimate has a significant influence on a country's total inventory of direct GHGs in terms of the absolute level of emissions, the trend in emissions, or both. Total emissions from the key categories amount to 95% of the total emissions included in the inventory. Key categories for Lebanon are determined with Approach 1 described in Volume 1, Chapter 4 of the 2006 IPCC Guidelines. 4 categories have been identified as key in the analysis, with CO₂ being the main gas and the energy sector being the main key category. Analyses of key categories is performed collectively for all sectors and a list of all key categories is presented in Table 10.","The analysis of key categories that contribute the most to the absolute level of national emissions and removals (level assessment) and to the trend of emissions and removals (trend assessment), is conducted using Approach 1 in the 2006 IPCC Guidelines. According to this approach, key categories are those that, when summed together in descending order of magnitude, add up to 95% of the total level/ trend. On other words, a key source category is one that is prioritized within the national inventory system because its estimate has a significant influence on a country's total inventory of direct GHGs, in terms of the absolute emissions and the trend. The level assessment key categories for 2016 are:","The analysis of key categories that contribute the most to the absolute level of national emissions and removals (level assessment) and to the trend of emissions and removals (trend assessment), is conducted using Approach 1 in the 2006 IPCC Guidelines. According to this approach, key categories are those that, when summed together in descending order of magnitude, add up to 95% of the total level/trend. In other words, a key source category is one that is prioritised within the national inventory system because its estimate has a significant influence on a country's total inventory of direct GHGs, in terms of the absolute emissions and the trend. The table below provides a summary of the key categories for the level and trend assessments. The full calculations are provided in the Annex: Key Category Analysis. Key categories from the level assessment for 2019 for each sector are identified in the sector summary tables in the sector chapters.",18_key_categories_trend_level,236,1.2521222410865875
19,19,"The main categories of the inventory were obtained following Method 1 by evaluation of level, tendency and uncertainty. For this, the emissions and removals in absolute value were taken into account based on the participation that each source has in the inventory until 95% of the total was covered. This analysis was carried out following the guidelines established in Table 4.1 of the 2006 IPCC Guidelines (Volume 1, Chapter 4) to determine the level of aggregation of the categories of the Energy, PIUP and Waste sectors. In the case of the AGSOUT sector, given that it contains several significant subcategories, the recommendation was made to carry out the analysis of main categories with a higher level of disaggregation. In particular, category 3A was subdivided into 3A1ai Dairy cattle; 3A1aii Beef cattle and 3A1ab-j Other livestock. Regarding subcategories 3C4 and 3C5, they are broken down by type of animal production following the same criteria as in category 3A, by harvest residues, by synthetic fertilizers and by direct N₂O emissions due to the loss of organic matter from the soil. . On the other hand, since Argentina has a consistent representation of Method 1 lands, it is not possible to assign the changes in soil carbon to land use categories 3B1 to 3B6. For this reason, a new subcategory *3B7-Variation of soil organic matter (carbon)&quot; was generated to report the change in total soil carbon corresponding to the area of the country included in the coherent representation of lands, and it is this subcategory 3B7 that included in the main category analysis.","The key categories of the 2018 National GHG inventory were obtained according a level assessment. For this purpose, emissions and removals were considered in absolute value according to the participation that each source of emissions has on the inventory, until 95% of the total was covered. This analysis was performed following the guidelines established in the 2006 IPCC Guidelines (Volume 1, Chapter 4), to determine the level of aggregation of the categories of the Energy, IPPU and Waste sectors. In the case of the AFOLU sector, the recommendation to perform a key category analysis with a higher level of disaggregation was applied, since this sector contains several significant subcategories. In particular, category 3A was divided into 3A1ai-dairy cattle, 3A1aii-beef cattle, and 3A1ab-j- other livestock. Additionally, subcategories 3C4 and 3C5, were also disaggregated by the same type of animal production as category 3A, and into crop residues, synthetic fertilizers and nitrogen mineralization associated with loss of soil organic matter. On the other hand, since Argentina has a consistent representation of land estimated by of Method 1, it is not possible to allocate the carbon in soil variations into the land use categories 3B1 to 3B6. For this reason, a new subcategory, ""3B7-variation of soil organic matter (carbon)""","The key categories of the 2018 National GHG inventory were obtained according a level assessment. For this purpose, emissions and removals were considered in absolute value according to the participation that each source of emissions has on the inventory, until 95% of the total was covered. This analysis was performed following the guidelines established in the 2006 IPCC Guidelines (Volume 1, Chapter 4), to determine the level of aggregation of the categories of the Energy, IPPU and Waste sectors. In the case of the AFOLU sector, the recommendation to perform a key category analysis with a higher level of disaggregation was applied, since this sector contains several significant subcategories. In particular, category 3A was divided into 3A1ai-dairy cattle, 3A1aii-beef cattle, and 3A1ab-j- other livestock. Additionally, subcategories 3C4 and 3C5, were also disaggregated by the same type of animal production as category 3A, and into crop residues, synthetic fertilizers and nitrogen mineralization associated with loss of soil organic matter. On the other hand, since Argentina has a consistent representation of land estimated by of Method 1, it is not possible to allocate the carbon in soil variations into the land use categories 3B1 to 3B6. For this reason, a new subcategory, ""3B7-variation of soil organic matter (carbon)""",19_afolu_sector_categories_3a,199,1.0558149405772497
20,20,"According to 2006 IPCC Guidelines, Vol. 3, Chap. 2.3.1.1, the Tier 1 method is based on applying a default emission factor to national level lime production data. While country-specific information on lime production by type (e.g., high calcium lime, dolomitic lime, or hydraulic lime) is not necessary for good practice in Tier 1, where data are available to identify the specific types of lime produced in the country, this may be used. It is not necessary for good practice to account for LKD in Tier 1.","CO₂ is released by heating limestone or calcium carbonate to break down the carbonates, this is usually done in reed kilns or rotary kilns at high temperatures. For the estimation of emissions from the production of lime, the Tier 2 method of the 2006 IPCC Guidelines was applied, based on the data of the national production of lime by type. Country-specific information is required at this level on the proportion of hydrated lime that is produced. The proportions by type of lime with respect to production of lime kiln dust (LKD) at the plant level should be obtained as shown in the following equation.","CO₂ emissions from calcination of carbonates are mainly produced in three industrial activities: i) cement production, ii) lime production, and iii) glass production. Other industrial activities with lower significance are the production of ceramics, soda ash and magnesite production. According to this differentiation, IPCC 2006 Guidelines proposes the following categories for estimating CO2 emissions due to calcination of carbonates: 2A1 Cement production, 2A2 Lime production, 2A3 Glass production and 2A4 other uses of carbonates.",20_lime_glass_production_soda,165,0.8754244482173175
21,21,"GHG emissions from cement production were estimated using a Tier 2 methodology (2006 IPCC Guidelines), based on activity data on clinker production. Data obtained directly from the producer on CaO and MgO ratio in clinker and cement were used for calculating the CO₂ emission factors.","Cement production: The IPCC Good Practice Guidance (2000) presents two methods for estimating CO₂ emissions from cement production: Tier 1. Using data from cement production. Cement production data is used to estimate clinker production (taking into account the types of cement produced: Portland cement, pozzolanic cement, composite cement, blast furnace slag cement, etc.) and including clinker imports and exports (when it is possible). Regarding the Emission Factors, default factors were used: from O-IPCC, 3.1.1.1 p.3.10 (Clinker) and from D-IPCC1996, Reference Manual, 2.3.3.p.2.7 (Cement).","The methodology used to estimate CO₂ emissions is the Tier 2 method of the IPCC GHG inventory manual, which uses clinker production data and clinker lime content data. As for the estimate of SO₂ emissions from cement production, it was carried out by applying an emission factor excluding combustion to the annual production of cement.",21_cement_clinker_production_cao,179,0.9497028862478777
