,Topic,0,1,2,Top_words,topic_count,%_total
10,10,"In this Special Report, the degree of agreement within the scientific body of knowledge on a particular finding is assessed based on multiple lines of evidence (e.g., mechanistic understanding, theory, data, models, expert judgement) and expressed qualitatively (Mastrandrea et al, 2010). See also Confidence, Likelihood and Uncertainty.","The robustness of a finding based on the type, amount, quality and consistency of evidence (e.g, mechanistic understanding, theory, data, models, expert judgment) and on the degree of agreement across multiple lines of evidence. In this Special Report, confidence is expressed qualitatively (Mastrandrea et al, 2010). See Section 1.8.3 for the list of confidence levels used. See also Likelihood and Uncertainty.","This technical summary complements and expands the key findings of the Working Group (WG) Il contribution to the Sixth Assessment Report (AR6) presented in the Summary for Policymakers and covers literature accepted for publication by 1 September 2021. It provides technical understanding and is developed from the key findings of chapters and cross-chapter papers (CCPs) as presented in their executive summaries and integrates across them. The report builds on the WGIl contribution to the Fifth Assessment Report (ARS) of the IPCC and three special reports of the AR6 cycle providing new knowledge and updates. The three special reports are the Special Report on Global Warming of 1.5°C (2018), an IPCC special report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty; the Special Report on Climate Change and Land, which is concerned with climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems (2019); and the Special Report on the Ocean and Cryosphere in a Changing Climate (2019). The WGIl assessment integrates with the WGI (the physical science basis) and WGIII (mitigation of climate change) contributions and contributes to the Synthesis Report.",10_report_findings_likelihood_evidence,200,1.0
11,11,"Integrated water management provides large co-benefits for adaptation (Dillon and Arshad 2016) by improving the resilience of food crop production systems to future climate change (Porter et al 2014) (Chapter 2 and Table 6.7). Improving irrigation systems and integrated water resource management, such as enhancing urban and rural water supplies and reducing water evaporation losses (Dillon and Arshad 2016), are significant options for enhancing climate adaptation. Many technical innovations (e.g., precision water management) can lead to beneficial adaptation outcomes by increasing water availability and the reliability of agricultural production, using different techniques of water harvesting, storage, and its judicious utilisation through","Attribution of success in soil and water conservation measures was confounded by inadequate monitoring of rainfall variability and lack of catchment hydrologic indicators (Bhalla et al 2013). Social and economic trade-offs included bias of benefits to downstream crop producers at the expense of pastoralists, women and upstream communities. This biased distribution of IWM benefits could potentially be addressed by compensation for environmental services between communities (Kerr et al 2002). The successes in some areas also led to increased demand for water, especially groundwater, since there has been no corresponding social regulation of water use after improvement in water regime (Samuel et al. 2007). Policies and management did not ensure water allocation to sectors with the highest social and economic benefits (Batchelor et al 2003). Limited field evidence of the positive impacts of rainwater harvesting at the local scale is available, but there are several potential negative impacts at the watershed scale (Glendenning et al 2012). Furthermore, watershed projects are known to have led to more water scarcity, and higher expectations for irrigation water supply, further exacerbating water scarcity (Bharucha et al. 2014).","policies aimed at improving water use efficiency in different sectors of the economy, especially in agriculture and industry, or public advocacy campaigns raising societal awareness and bringing about behavioural change to reduce wasteful water consumption in the residential sector are among such drought risk mitigation policies (Tsakiris 2017). Public outreach and monitoring of communicable diseases, air and water quality were found to be useful for reducing health impacts of droughts (Yusa et al 2015). The evidence from household responses to drought in Cape Town, South Africa, between 2015 and 2017, suggests that media coverage and social media could play a decisive role in changing water consumption behaviour, even more so than official water consumption restrictions (Booysen et al 2019). Drought risk mitigation approaches are less costly than providing drought relief after the occurrence of droughts. To illustrate, Harou et al. (2010) found that establishment of water markets in California considerably reduced drought costs. Application of water saving technologies reduced drought costs in Iran by 282 million USD (Salami et al 2009). Booker et al. (2005) calculated that inter-regional trade in water could reduce drought costs by 20-30% in the Rio Grande basin, USA. Increasing rainfall variability under climate change can make the forms of index insurance based on rainfall less efficient (Kath et al. 2019). A number of diverse water property instruments, including instruments allowing water transfer, together with the technological and institutional ability to adjust water allocation, can improve timely adjustment to droughts (Hurlbert 2018). Supply-side water management, providing for proportionate reductions in water delivery, prevents the important climate change adaptation option of managing water according to need or demand (Hurlbert and Mussetta 2016). Exclusive use of a water market to govern water allocation similarly prevents the recognition of the human right to water at times of drought (Hurlbert 2018). Policies aiming to secure land tenure, and to expand access to markets, agricultural advisory services and effective climate services, as well as to create off-farm employment opportunities, can facilitate the adoption of drought risk mitigation practices (Alam 2015; Kusunose and Lybbert 2014), increasing resilience to climate change (Section 3.6.3), while also contributing to SLM (Sections 3.6.3 and 4.8.1, and Table 5.7).",11_water_irrigation_drought_groundwater,171,1.0
12,12,"Carbon price The price for avoided or released carbon dioxide (CO) or CO,-equivalent emissions. This may refer to the rate of a carbon tax, or the price of emission permits. In many models that are used to assess the economic costs of mitigation, carbon prices are used as a proxy to represent the level of effort in mitigation policies. See also Mitigation.","Economic instruments have been effective in reducing emissions, complemented by regulatory instruments mainly at the national and also sub-national and regional level (high confidence). Where implemented, carbon pricing instruments have incentivised low-cost emissions reduction measures, but have been less effective, on their own and at prevailing prices during the assessment period, in promoting the higher-cost measures necessary for further reductions (medium confidence). Equity and distributional impacts of such carbon pricing instruments can be addressed by using revenue from carbon taxes or emissions trading to support low-income households, among other approaches (high confidence). Practical experience has informed instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, distributional goals and social acceptance (high confidence). Removing fossil fuel subsidies would reduce emissions, improve public revenue and macroeconomic performance, and yield other environmental and sustainable development benefits; subsidy removal may have adverse distributional impacts especially on the most economically vulnerable groups which, in some cases can be mitigated by measures such as redistributing revenue saved, all of which depend on national circumstances (high confidence); fossil fuel subsidy removal is projected by various studies to reduce global CO₂ emissions by 1-4%, and GHG emissions by up to 10% by 2030, varying across regions (medium confidence). (6.3, 13.6)","C.6.4 Regulatory and economic instruments could support deep emissions reductions if scaled up and applied more widely (high confidence). Scaling up and enhancing the use of regulatory instruments can improve mitigation outcomes in sectoral applications, consistent with national circumstances (high confidence). Where implemented, carbon pricing instruments have incentivized low-cost emissions reduction measures but have been less effective, on their own and at prevailing prices during the assessment period, to promote higher-cost measures necessary for further reductions (medium confidence). Equity and distributional impacts of such carbon pricing instruments, e.g., carbon taxes and emissions trading, can be addressed by using revenue to support low-income households, among other approaches. Removing fossil fuel subsidies would reduce emissions and yield benefits such as improved public revenue, macroeconomic and sustainability performance; subsidy removal can have adverse distributional impacts, especially on the most economically vulnerable groups which, in some cases can be mitigated by measures such as redistributing revenue saved, all of which depend on national circumstances (high confidence). Economy-wide policy packages, such as public spending commitments, pricing reforms, can meet short-term economic goals while reducing emissions and shifting development pathways towards sustainability (medium confidence). Effective policy packages would be comprehensive, consistent, balanced across objectives, and tailored to national circumstances (high confidence). {2.2.2, 4.7)",12_carbon_costs_discount_price,171,1.0
13,13,"Multiple datasets and models show that the rate of ocean uptake of atmospheric CO₂ has continued to strengthen in the recent two decades in response to the increasing concentration of CO₂ in the atmosphere. The very likely range for ocean uptake is between 20-30% of total anthropogenic emissions in the recent two decades. Evidence is growing that the ocean carbon sink is dynamic on decadal timescales, especially in the Southern Ocean, which has affected the total global ocean carbon sink (medium confidence). (5.2.2.3)","The carbon cycle provides for additional feedbacks on climate owing to the sensitivity of land-atmosphere and ocean-atmosphere carbon fluxes and storage to changes in climate and in atmospheric CO₂ (Figure TS.17c). Because of the time scales associated with land and ocean carbon uptake, these feedbacks are known to be scenario dependent. Feedback estimates deviate from linearity in scenarios of stabilizing or reducing concentrations. With high confidence, increased atmospheric CO₂ will lead to increased land and ocean carbon uptake, acting as a negative feedback on climate change. It is likely that a warmer climate will lead to reduced land and ocean carbon uptake, acting as a positive feedback (Box TS.5). (4.3.2, 5.4.1-5)","Multiple datasets and models show that the rate of ocean uptake of atmospheric CO₂ has continued to strengthen in the recent two decades in response to the increasing concentration of CO₂ in the atmosphere. The very likely range for ocean uptake is between 20-30% of total anthropogenic emissions in the recent two decades. Evidence is growing that the ocean carbon sink is dynamic on decadal timescales, especially in the Southern Ocean, which has affected the total global ocean carbon sink (medium confidence). (5.2.2.3)",13_carbon_ocean_atmospheric_sink,137,1.0
14,14,"Land degradation processes with direct impact on soil and terrestrial biota have great relevance in terms of CO₂ exchange with the atmosphere, given the magnitude and activity of these reservoirs in the global carbon cycle. As the most widespread form of soil degradation, erosion detaches the surface soil material, which typically hosts the highest organic carbon stocks, favouring the mineralisation and release as CO₂. Yet complementary processes such as carbon burial may compensate for this effect, making soil erosion a long-term carbon sink (low agreement, limited evidence), (Wang et al. (2017b), but see also Chappell et al. (2016)). Precise estimation of the CO₂ released from eroded lands is challenged by the fact that only a fraction of the detached carbon is eventually lost to the atmosphere. It is important to acknowledge that a substantial fraction of the eroded material may preserve its organic carbon load in field conditions. Moreover, carbon sequestration may be favoured through the burial of both the deposited material and the surface of its hosting soil at the deposition location (Quinton et al. 2010). The cascading effects of erosion on other environmental processes at the affected sites can often cause net CO₂ emissions through their indirect influence on soil fertility, and the balance of organic carbon inputs and outputs, interacting with other non-erosive soil degradation processes (such as nutrient depletion, compaction and salinisation), which can lead to the same net carbon effects (see Table 4.1) (van de Koppel et al. 1997).","Agroforestry can curb GHG emissions of CO₂, CH4, and N₂0 in agricultural systems in both developed and developing countries (see Glossary for definition) (see Chapter 2, Section 2.5.1 and Figure 2.24). Soil carbon sequestration, together with biological N fixation, improved land health and underlying ecosystem services may be enhanced through agricultural lands management practices used by large-scale and smallholder farmers, such as incorporation of trees within farms or in hedges (manure addition, green manures, cover crops, etc.), whilst promoting greater soil organic matter and nutrients (and thus soil organic carbon) content and improve soil structure (Mbow et al. 2014b) (Table 5.5). The tree cover increases the microbial activity of the soil and increases the productivity of the grass under cover. CO₂ emissions are furthermore lessened indirectly, through lower rates of erosion due to better soil structure and more plant cover in diversified farming systems than in monocultures. There is great potential for increasing above-ground and soil carbon stocks, reducing soil erosion and degradation, and mitigating GHG emissions.","Global warming is expected to accelerate soil organic carbon (SOC) turnover, since the decomposition of the soil organic matter by microbial activity begins with low soil water availability, but this moisture is insufficient for plant productivity (Austin et al. 2004) (Section 3.4.1.1). SOC is also lost due to soil erosion (Lal 2009); therefore, in some dryland areas leading to SOC decline (Sections 3.3.3 and 3.5.2) and the transfer of carbon (C) from soil to the atmosphere (Lal 2009).",14_soil_carbon_organic_soils,121,1.0
15,15,"Disaster risk management (DRM) Processes for designing. implementing, and evaluating strategies, policies, and measures to improve the understanding of current and future disaster risk, foster disaster risk reduction and transfer, and promote continuous improvement in disaster preparedness, prevention and protection, response, and recovery practices, with the explicit purpose of increasing human security, well-being, quality of life, and sustainable development (SD).","Disaster risk management (DRM) Processes for designing, implementing, and evaluating strategies, policies, and measures to improve the understanding of current and future disaster risk, foster disaster risk reduction and transfer, and promote continuous improvement in disaster preparedness, prevention and protection, response, and recovery practices, with the explicit purpose of increasing human security, well-being, quality of life, and sustainable development (UNISDR, 2017).","Disaster risk management (DRM) Processes for designing, implementing, and evaluating strategies, policies, and measures to improve the understanding of disaster risk, foster disaster risk reduction and transfer, and promote continuous improvement in disaster preparedness, response, and recovery practices, with the explicit purpose of increasing human security, well-being, quality of life, and sustainable development.",15_disaster_insurance_risk_instruments,119,1.0
16,16,"Figure TS.31 | Geophysical, environmental-ecological, technological, economic, socio-cultural and institutional factors can enable or act as barriers to the deployment of response options. Chapter-level assessment for selected mitigation options. Overlaps may exist in the mitigation options assessed and presented by sector and system, and feasibility might differ depending on the demarcation of that option in each sector. Chapters 6, 8, 9, 10, and 12 assess mitigation response options across six feasibility dimensions: geophysical environmental-ecological technological economic, socio-cultural and institutional. AFOLU (Chapter 7) and industry (Chapter 11) are not included because of the heterogeneity of options in these sectors. For each dimension, a set of feasibility indicators was identified. Examples of indicators include impacts on land use, air pollution, economic costs, technology scalability, public acceptance and political acceptance (see Box TS.15, and Annex II.N.11 for a detailed explanation). An indicator could refer to a barrier or an enabler to implementation, or could refer to both a barrier or an enabler, depending on the context, speed, and scale of implementation. Dark blue bars indicate the extent of enablers to deployment within each dimension. This is shown relative to the maximum number of possible enablers, as indicated by the light blue shading. Dark orange bars indicate the extent of barriers to deployment within each dimension. This is shown relative to the maximum number of possible barriers, as indicated by light orange shading. A light grey dot indicates that there is limited or no evidence to assess the option. A dark grey dot indicates that one of the feasibility indicators within that dimension is not relevant for the deployment of the option. The relevant sections in the underlying chapters include references to the literature on which the assessment is based and indicate whether the feasibility of an option varies depending on context (e.g., region), scale (e.g., small, medium or full scale), speed (e.g., implementation in 2030 versus 2050) and warming level (e.g., 1.5°C versus 2°C). (6.4, 85, 9.10, 10.8, 123, Annex II.IV.11)","In this report, feasibility refers to the potential for a mitigation or adaptation option to be implemented. Factors influencing feasibility are context-dependent, temporally dynamic, and may vary between different groups and actors. Feasibility depends on geophysical, environmental-ecological, technological, economic, socio-cultural and institutional factors that enable or constrain the implementation of an option. The feasibility of options may change when different options are combined and increase when enabling conditions are strengthened. See also: Enabling conditions (for adaptation and mitigation options).","Feasibility In this report, feasibility refers to the potential for a mitigation or adaptation option to be implemented. Factors influencing feasibility are context-dependent, temporally dynamic, and may vary between different groups and actors. Feasibility depends on geophysical, environmental-ecological technological, economic, socio-cultural and institutional factors that enable or constrain the implementation of an option. The feasibility of options may change when different options are combined, and increase when enabling conditions are strengthened. See also Enabling conditions",16_feasibility_mitigation_option_options,110,1.0
17,17,"Anthropogenic climate change has increased observed precipitation (medium confidence), winds (low confidence), and extreme sea level events (high confidence) associated with some tropical cyclones, which has increased intensity of multiple extreme events and associated cascading impacts (high confidence). Anthropogenic climate change may have contributed to a poleward migration of maximum tropical cyclone intensity in the western North Pacific in recent decades related to anthropogenically-forced tropical expansion (low confidence). There is emerging evidence for an increase in the annual global proportion of Category 4 or 5 tropical cyclones in recent decades (low confidence). (6.3, Table 6.2, Figure 6.2, Box 6.1)","The average intensity of tropical cyclones, the proportion of Category 4 and 5 tropical cyclones and the associated average precipitation rates are projected to increase for a 2°C global temperature rise above any baseline period (medium confidence). Rising mean sea levels will contribute to higher extreme sea levels associated with tropical cyclones (very high confidence). Coastal hazards will be exacerbated by an increase in the average intensity, magnitude of storm surge and precipitation rates of tropical cyclones. There are greater increases projected under RCP8.5 than under RCP2.6 from around mid-century to 2100 (medium confidence). There is low confidence in changes in the future frequency of tropical cyclones at the global scale. (6.3.1)","The average intensity of tropical cyclones, the proportion of Category 4 and 5 tropical cyclones and the associated average precipitation rates are projected to increase for a 2°C global temperature rise above any baseline period (medium confidence). Rising mean sea levels will contribute to higher extreme sea levels associated with tropical cyclones (very high confidence). Coastal hazards will be exacerbated by an increase in the average intensity, magnitude of storm surge and precipitation rates of tropical cyclones. There are greater increases projected under RCP8.5 than under RCP2.6 from around mid-century to 2100 (medium confidence). There is low confidence in changes in the future frequency of tropical cyclones at the global scale. (6.3.1)",17_tropical_cyclones_cyclone_tc,105,1.0
18,18,"A functional unit consisting of living organisms, their non-living environment and the interactions within and between them. The components included in a given ecosystem and its spatial boundaries depend on the purpose for which the ecosystem is defined: in some cases, they are relatively sharp, while in others they are diffuse. Ecosystem boundaries can change over time. Ecosystems are nested within other ecosystems, and their scale can range from very small to the entire biosphere. In the current era, most ecosystems either contain people as key organisms or are influenced by the effects of human activities in their environment. See also Ecosystem services and Ecosystem health.","Ecosystem An ecosystem is a functional unit consisting of living organisms, their non-living environment and the interactions within and between them. The components included in a given ecosystem and its spatial boundaries depend on the purpose for which the ecosystem is defined: in some cases they are relatively sharp, while in others they are diffuse. Ecosystem boundaries can change over time. Ecosystems are nested within other ecosystems and their scale can range from very small to the entire biosphere. In the current era, most ecosystems either contain people as key organisms, or are influenced by the effects of human activities in their environment. See also Ecosystem services.","An ecosystem is a functional unit consisting of living organisms, their nonliving environment and the interactions within and between them. The components included in a given ecosystem and its spatial boundaries depend on the purpose for which the ecosystem is defined: in some cases, they are relatively sharp, while in others they are diffuse. Ecosystem boundaries can change over time. Ecosystems are nested within other ecosystems and their scale can range from very small to the entire biosphere. In the current era, most ecosystems either contain people as key organisms, or are influenced by the effects of human activities in their environment. See also: Ecosystem health, Ecosystem services.",18_ecosystem_services_es_human,106,1.0
19,19,"This special report assesses new knowledge since the IPCC 5th Assessment Report (ARS) and the Special Report on Global Warming of 1.5°C (SR15) on how the ocean and cryosphere have and are expected to change with ongoing global warming, the risks and opportunities these changes bring to ecosystems and people, and mitigation, adaptation and governance options for reducing future risks. Chapter 1 provides context on the importance of the ocean and cryosphere, and the framework for the assessments in subsequent chapters of the report.","This special report assesses new knowledge since the IPCC 5th Assessment Report (ARS) and the Special Report on Global Warming of 1.5°C (SR15) on how the ocean and cryosphere have and are expected to change with ongoing global warming, the risks and opportunities these changes bring to ecosystems and people, and mitigation, adaptation and governance options for reducing future risks. Chapter 1 provides context on the importance of the ocean and cryosphere, and the framework for the assessments in subsequent chapters of the report.","Each chapter of SROCC presents an integrated storyline on the ocean and/or cryosphere in a changing climate. The chapter assessments each present evidence of the pervasive changes that are already underway in the ocean and cryosphere (Figure 1.5). The impacts that physical changes in the ocean and cryosphere have had on ecosystems and people are assessed, along with lessons learned from adaptation measures that have already been employed to avoid adverse impacts. The assessments of future change in the ocean and cryosphere demonstrate the growing and accelerating changes projected for the future and identify the reduced impacts and risks that choices for a low greenhouse gas emission future would have compared with a high emission future (Figure 1.5). Potential adaptation strategies to reduce future risks to ecosystems and people are assessed, including identifying where limits to adaptation may be exceeded. The local-to global-scale responses for charting CRDPs are also assessed.",19_cryosphere_ocean_srocc_changes,100,1.0
